ts,symbol,best_bid,best_ask,mid,micro,spread,tick,imb3,imb5,qd_bid,qd_ask,qr_bid,qr_ask,book_ofi,trade_ofi,net_ofi,micro_drift,ret1s,vol10s,entropy10s,ising_field,ising_magnet,ising_energy,ising_prob_up,ising_prob_down,ising_suscept,ising_spin,ising_consensus,ising_criticalness,long_score,short_score,long,short,reason
2026-03-13T22:30:19.98484947+03:00,BTC-USDT,71126.00000000,71126.10000000,71126.05000000,71126.09657709,0.10000000,0.00000000,0.93154174,0.93154174,0.00000000,0.00000000,0.07333360,0.19786919,0.46329560,0.98735214,0.69912104,-0.00000000,0.00000303,0.00002927,0.74959526,0.56473395,-1.00000000,-0.28526605,0.22180636,0.77819364,0.00000000,-1,1.00000000,0.00000000,0.63563828,0.11724145,false,false,no_strong_signal
2026-03-13T22:30:20.061828404+03:00,BTC-USDT,71126.00000000,71126.10000000,71126.05000000,71126.09657709,0.10000000,0.00000000,0.93154174,0.93154174,0.00000000,0.00000000,0.00000000,0.00000000,0.46723855,0.98735214,0.70128967,0.00000000,0.00000303,0.00002927,0.74959526,0.57315239,-1.00000000,-0.27684761,0.22826579,0.77173421,0.00000000,-1,1.00000000,0.00000000,0.65876903,0.12123097,false,false,no_strong_signal
2026-03-13T22:30:20.189360381+03:00,BTC-USDT,71126.00000000,71126.10000000,71126.05000000,71126.09657709,0.10000000,0.00000000,0.93154174,0.93154174,0.00000000,0.00000000,0.00000000,0.00000000,0.46723855,0.98735214,0.70128967,0.00000000,0.00000303,0.00002927,0.74959526,0.57315239,-1.00000000,-0.27684761,0.22826579,0.77173421,0.00000000,-1,1.00000000,0.00000000,0.65876903,0.12123097,false,false,no_strong_signal
2026-03-13T22:30:20.396217021+03:00,BTC-USDT,71126.00000000,71126.10000000,71126.05000000,71126.09657709,0.10000000,0.00000000,0.93154174,0.93154174,0.00000000,0.00000000,0.00000000,0.00000000,0.46723855,0.98693018,0.70109979,0.00000000,0.00000303,0.00002927,0.74959526,0.57306800,-1.00000000,-0.27693200,0.22820039,0.77179961,0.00000000,-1,1.00000000,0.00000000,0.65866561,0.12133439,false,false,no_strong_signal
2026-03-13T22:30:20.599197823+03:00,BTC-USDT,71126.00000000,71126.10000000,71126.05000000,71126.09657709,0.10000000,0.00000000,0.93154174,0.93154174,0.00000000,0.00000000,0.00000000,0.00000000,0.46723855,0.98693018,0.70109979,0.00000000,0.00000303,0.00002927,0.74959526,0.57306800,-1.00000000,-0.27693200,0.22820039,0.77179961,0.00000000,-1,1.00000000,0.00000000,0.65866561,0.12133439,false,false,no_strong_signal
2026-03-13T22:30:20.65033039+03:00,BTC-USDT,71126.00000000,71126.10000000,71126.05000000,71126.09657709,0.10000000,0.00000000,0.93154174,0.93154174,0.00000000,0.00000000,0.00000000,0.00000000,0.46723855,0.98693018,0.70109979,0.00000000,0.00000303,0.00002927,0.74959526,0.57306800,-1.00000000,-0.27693200,0.22820039,0.77179961,0.00000000,-1,1.00000000,0.00000000,0.65866561,0.12133439,false,false,no_strong_signal
2026-03-13T22:30:20.803944274+03:00,BTC-USDT,71126.00000000,71126.10000000,71126.05000000,71126.09657709,0.10000000,0.00000000,0.93154174,0.93154174,0.00000000,0.00000000,0.00000000,0.00000000,0.46768011,0.98693018,0.70134264,0.00000000,0.00000303,0.00002927,0.74959526,0.57317397,-1.00000000,-0.27682603,0.22828252,0.77171748,0.00000000,-1,1.00000000,0.00000000,0.65877075,0.12122925,false,false,no_strong_signal
2026-03-13T22:30:20.892434263+03:00,BTC-USDT,71126.00000000,71126.10000000,71126.05000000,71126.09657709,0.10000000,0.00000000,0.93154174,0.93154174,0.00000000,0.00000000,0.00000000,0.00000000,0.46768011,0.98693018,0.70134264,0.00000000,0.00000303,0.00002917,0.71206405,0.57317397,-1.00000000,-0.27682603,0.22828252,0.77171748,0.00000000,-1,1.00000000,0.00000000,0.65877075,0.12122925,false,false,no_strong_signal
2026-03-13T22:30:21.016312103+03:00,BTC-USDT,71126.00000000,71126.10000000,71126.05000000,71126.09657709,0.10000000,0.00000000,0.93154174,0.93154174,0.00000000,0.00000000,0.00000000,0.00000000,0.46768011,0.98693018,0.70134264,0.00000000,0.00000303,0.00002917,0.71206405,0.57317397,-1.00000000,-0.27682603,0.22828252,0.77171748,0.00000000,-1,1.00000000,0.00000000,0.65877075,0.12122925,false,false,no_strong_signal
2026-03-13T22:30:21.126408125+03:00,BTC-USDT,71126.00000000,71126.10000000,71126.05000000,71126.09657682,0.10000000,0.00000000,0.93153637,0.93153637,0.00008119,0.00000000,0.00000000,0.00000000,0.46455534,0.98674743,0.69954178,-0.00000000,0.00000303,0.00002917,0.71206405,0.57237644,-1.00000000,-0.27762356,0.22766491,0.77233509,0.00000000,-1,1.00000000,0.00000000,0.65797775,0.12203687,false,false,no_strong_signal
